term,frequency
readersthey,1
readthebilld,1
realiti,1
recent,1
recogn,1
record,1
refer,1
refus,1
regard,1
region,1
remembr,1
remov,1
renew,1
rep,1
repcum,1
repriev,1
reput,1
resolut,1
respons,1
rest,1
retail,1
retreat,1
rex,1
rid,1
rig,1
road,1
romoabcnew,1
room,1
rude,1
ruler,1
sacr,1
safe,1
saint,1
sampp,1
samsung,1
sander,1
sara,1
saturday,1
scale,1
scandal,1
sd,1
seanhann,1
search,1
seat,1
second,1
secpricemd,1
secret,1
senatemajldr,1
senateyouth,1
send,1
senrichard,1
senschum,1
septemb,1
serious,1
serv,1
servd,1
server,1
set,1
shinzd,1
shoot,1
shulkin,1
shuttl,1
sick,1
simpl,1
sit,1
situat,1
slash,1
smithsonian,1
snoopdogg,1
societi,1
soft,1
sold,1
somalia,1
somebodi,1
someth,1
sorri,1
south,1
southern,1
space,1
speakerryan,1
spend,1
spiral,1
spirit,1
spoken,1
spotlight,1
squander,1
stake,1
stand,1
star,1
statut,1
step,1
stephen,1
steven,1
stop,1
storm,1
straight,1
streak,1
stream,1
strengthen,1
strongest,1
success,1
sudan,1
sunday,1
superbowl,1
suppos,1
sure,1
suspect,1
swear,1
swearingin,1
sweep,1
sworn,1
syria,1
tapp,1
tariff,1
technic,1
televis,1
tennesse,1
term,1
thebigeasi,1
thebrodyfil,1
thed,1
theori,1
thoma,1
thousand,1
thr,1
threat,1
thug,1
thursday,1
ticketsd,1
tillerson,1
told,1
tour,1
tourist,1
tower,1
traffic,1
traffick,1
traitor,1
treasuri,1
troubl,1
trudeau,1
trumpstyl,1
tuckercarlson,1
tuesday,1
turn,1
uc,1
unabl,1
unamerican,1
undo,1
unfair,1
unfortun,1
ungrat,1
unnecessari,1
unwatch,1
unwil,1
upcom,1
upperlow,1
usadebcdefc,1
usedgov,1
various,1
vasecretari,1
venezuela,1
veteran,1
via,1
vicious,1
victori,1
video,1
violenc,1
visit,1
vital,1
vladimir,1
voluntarili,1
voter,1
votestand,1
vow,1
vs,1
vulner,1
wait,1
war,1
warrior,1
wasnt,1
watchd,1
wealth,1
weder,1
weekend,1
wh,1
what,1
whole,1
wiedefeld,1
winner,1
wish,1
witch,1
within,1
won,1
worri,1
worst,1
write,1
wt,1
xl,1
yemen,1
yes,1
ó»s,1
